dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,23.300464,8.814976,29.240811,22.838862,-50.014762,232.946536,1.787437
0.010000,23.251077,9.033048,29.464406,22.359542,-47.931986,208.277661,1.799235
0.010000,23.200438,9.246095,29.683388,21.898209,-46.133329,179.865700,1.808726
0.010000,23.149086,9.454376,29.897906,21.451755,-44.645444,148.788462,1.815985
0.010000,23.097517,9.658120,30.108075,21.016901,-43.485359,116.008490,1.821070
0.010000,23.046193,9.857523,30.313978,20.590277,-42.662457,82.290245,1.824021
0.010000,22.995549,10.052746,30.515662,20.168462,-42.181425,48.103210,1.824864
0.010000,22.946000,10.243909,30.713142,19.748020,-42.044243,13.718159,1.823604
0.010000,22.897944,10.431094,30.906397,19.325507,-42.251335,-20.709167,1.820231
0.010000,22.851765,10.614339,31.095372,18.897487,-42.801950,-55.061482,1.814719
0.010000,22.807834,10.793642,31.279978,18.460549,-43.693791,-89.184102,1.807022
0.010000,22.766516,10.968952,31.460091,18.011331,-44.921823,-122.803215,1.797079
0.010000,22.728160,11.140174,31.635557,17.546569,-46.476142,-155.431883,1.784812
0.010000,22.693105,11.307166,31.806189,17.063237,-48.333224,-185.708255,1.770129
0.010000,22.661672,11.469740,31.971774,16.558483,-50.475432,-214.220808,1.752922
0.010000,22.634160,11.627663,32.132075,16.030075,-52.840765,-236.533291,1.733074
0.010000,22.610837,11.780660,32.286840,15.476529,-55.354594,-251.382872,1.710458
0.010000,22.591933,11.928430,32.435814,14.897387,-57.914223,-255.962904,1.684947
0.010000,22.577628,12.070650,32.578752,14.293780,-60.360743,-244.651974,1.656419
0.010000,22.568043,12.207003,32.715441,13.668948,-62.483185,-212.244279,1.624766
0.010000,22.563229,12.337202,32.845729,13.028780,-64.016741,-153.355516,1.589913
0.010000,22.555715,12.579963,33.088606,24.287725,1125.894497,118991.123734,1.614194
0.010000,22.541966,12.827391,33.336416,24.781007,49.328153,-107656.634415,1.638102
0.010000,22.522971,13.069697,33.579465,24.304884,-47.612327,-9694.048003,1.659629
0.010000,22.499531,13.306761,33.817685,23.821977,-48.290655,-67.832739,1.678740
0.010000,22.472415,13.538540,34.051045,23.336043,-48.593399,-30.274423,1.695422
0.010000,22.442357,13.765053,34.279543,22.849778,-48.626522,-3.312261,1.709672
0.010000,22.410049,13.986356,34.503192,22.364931,-48.484672,14.184964,1.721497
0.010000,22.376139,14.202537,34.722017,21.882448,-48.248274,23.639830,1.730910
0.010000,22.341237,14.413698,34.936043,21.402604,-47.984477,26.379666,1.737923
0.010000,22.305912,14.619946,35.145295,20.925156,-47.744787,23.969017,1.742549
0.010000,22.270696,14.821386,35.349789,20.449487,-47.566921,17.786566,1.744796
0.010000,22.236089,15.018113,35.549537,19.974735,-47.475192,9.172946,1.744670
0.010000,22.202555,15.210207,35.744536,19.499920,-47.481418,-0.622636,1.742170
0.010000,22.170531,15.397733,35.934777,19.024071,-47.584987,-10.356845,1.737290
0.010000,22.140420,15.580736,36.120240,18.546342,-47.772818,-18.783157,1.730022
0.010000,22.112598,15.759242,36.300902,18.066151,-48.019126,-24.630790,1.720353
0.010000,22.087410,15.933262,36.476735,17.583306,-48.284475,-26.534945,1.708270
0.010000,22.065168,16.102790,36.647716,17.098144,-48.516268,-23.179234,1.693762
0.010000,22.046150,16.267815,36.813833,16.611686,-48.645790,-12.952216,1.676821
