dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,18.191019,14.946521,29.200940,21.453570,47.767881,18.584558,1.730022
0.010000,18.157250,15.163243,29.420277,21.933691,48.012179,24.429866,1.720353
0.010000,18.125149,15.385097,29.644441,22.416452,48.276073,26.389390,1.708270
0.010000,18.095371,15.612168,29.873456,22.901505,48.505331,22.925768,1.693762
0.010000,18.068611,15.844510,30.107334,23.387834,48.632833,12.750246,1.676821
0.010000,18.045607,16.082135,30.346070,23.873592,48.575873,-5.696017,1.657451
0.010000,18.027131,16.324993,30.589630,24.355974,48.238142,-33.773156,1.635669
0.010000,18.013989,16.572956,30.837941,24.831110,47.513580,-72.456187,1.611510
0.010000,18.007002,16.825800,31.090881,25.294018,46.290806,-122.277346,1.585037
0.010000,18.006994,17.083186,31.348268,25.738619,44.460158,-183.064810,1.556339
0.010000,18.014768,17.344649,31.609847,26.157906,41.928701,-253.145699,1.525544
0.010000,18.031083,17.609589,31.875289,26.544189,38.628306,-330.039524,1.492817
0.010000,18.056618,17.877269,32.144183,26.889495,34.530538,-409.776793,1.458363
0.010000,18.091946,18.146825,32.416045,27.186122,29.662717,-486.782104,1.422425
0.010000,18.130135,18.379744,32.652073,23.602842,-358.328039,-38799.075608,1.398622
0.010000,18.170429,18.602720,32.878661,22.658836,-94.400564,26392.747494,1.385327
0.010000,18.213945,18.826166,33.106305,22.764388,10.555166,10495.573004,1.371504
0.010000,18.260833,19.050058,33.335053,22.874812,11.042400,48.723372,1.357129
0.010000,18.311250,19.274360,33.564953,22.989906,11.509423,46.702291,1.342179
0.010000,18.365363,19.499035,33.796052,23.109929,12.002346,49.292390,1.326628
0.010000,18.423345,19.724033,34.028401,23.234892,12.496320,49.397317,1.310452
0.010000,18.485376,19.949297,34.262049,23.364877,12.998438,50.211819,1.293626
0.010000,18.551644,20.174758,34.497047,23.499800,13.492331,49.389314,1.276126
0.010000,18.622343,20.400334,34.733443,23.639552,13.975182,48.285114,1.257927
0.010000,18.697674,20.625928,34.971283,23.783970,14.441778,46.659618,1.239005
0.010000,18.777841,20.851431,35.210611,23.932860,14.889069,44.729092,1.219339
0.010000,18.863055,21.076712,35.451470,24.085825,15.296458,40.738852,1.198907
0.010000,18.953524,21.301622,35.693893,24.242358,15.653273,35.681497,1.177693
0.010000,19.049460,21.525992,35.937914,24.402060,15.970216,31.694367,1.155681
0.010000,19.151072,21.749630,36.183553,24.563888,16.182765,21.254828,1.132858
0.010000,19.258560,21.972317,36.430825,24.727215,16.332721,14.995651,1.109219
0.010000,19.372119,22.193812,36.679734,24.890895,16.367982,3.526081,1.084762
0.010000,19.491929,22.413845,36.930270,25.053677,16.278253,-8.972898,1.059490
0.010000,19.618151,22.632119,37.182413,25.214228,16.055123,-22.312965,1.033415
0.010000,19.750926,22.848311,37.436122,25.370908,15.667976,-38.714700,1.006557
0.010000,19.890365,23.062074,37.691343,25.522100,15.119163,-54.881297,0.978942
0.010000,20.036550,23.273035,37.948003,25.666011,14.391076,-72.808719,0.950608
0.010000,20.189521,23.480802,38.206010,25.800691,13.468035,-92.304151,0.921600
0.010000,20.349279,23.684969,38.465252,25.924238,12.354727,-111.330806,0.891974
0.010000,20.515778,23.885117,38.725600,26.034797,11.055919,-129.880707,0.861795
0.010000,20.688922,24.080824,38.986905,26.130522,9.572482,-148.343700,0.831137
0.010000,20.868566,24.271673,39.249003,26.209774,7.925149,-164.733307,0.800083
0.010000,21.054513,24.457256,39.511715,26.271145,6.137144,-178.800544,0.768722
0.010000,21.246517,24.637186,39.774850,26.313507,4.236240,-190.090446,0.737149
0.010000,21.444285,24.811101,40.038210,26.336034,2.252615,-198.362432,0.705463
0.010000,21.647483,24.978676,40.301594,26.338355,0.232098,-202.051721,0.673766
0.010000,21.855743,25.139625,40.564799,26.320497,-1.785769,-201.786684,0.642158
0.010000,22.068665,25.293709,40.827625,26.282661,-3.783591,-199.782255,0.610739
0.010000,22.285832,25.440741,41.089884,26.225890,-5.677123,-189.353119,0.579604
0.010000,22.506814,25.580580,41.351395,26.151112,-7.477733,-180.061065,0.548844
0.010000,22.731175,25.713143,41.611992,26.059726,-9.138640,-166.090653,0.518540
0.010000,22.958486,25.838394,41.871526,25.953392,-10.633437,-149.479732,0.488768
